beta_true,beta_hat_mean,beta_hat_median,beta_hat_lo,beta_hat_hi
0.0,0.06898262236327288,0.0006627643785700464,0.0,0.15623256952609313
0.2,0.6441529608946507,0.6616583704548606,0.4586049063187696,0.8211284236605123
0.4,1.181994795242651,1.1337464313907866,0.8689581655000405,1.5176912881488096
0.6000000000000001,1.712495616839562,1.6901178539179709,1.3439717319551305,2.101231001416736
0.8,1.9384897598433228,1.9987464209264028,1.607412112651654,2.293410445996034
1.0,1.3216842250662633,1.2792704967111042,0.975357224027399,1.6483208763187838
1.2000000000000002,2.2298952509217673,2.206280779008023,2.0022816657515436,2.482484022777773
1.4000000000000001,2.7054644241745844,2.7108430929587546,2.514451652952917,2.9066019369737686
1.6,2.8675808510288197,2.932216734845997,2.727681089723678,3.0
1.8,2.6929782709986085,2.6812699652287444,2.5231661252711097,2.9129212448996236
2.0,2.2218688763808725,2.2467311672105073,2.0265981329508196,2.425345765474473
