time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-06-29T07:43:45.700Z,-43.484,170.277,5,4.1,ml,35,134.4,,,us,usp000j3xs,2014-11-07T01:45:11.727Z,"102 km SSW of Hokitika, New Zealand",earthquake,,,,,reviewed,wel,wel
2011-06-12T02:28:18.540Z,-44.308,168.161,5,5.2,mb,53,67.2,,,us,usp000j30r,2014-11-07T01:45:04.486Z,"86 km NW of Arrowtown, New Zealand",earthquake,,,,2,reviewed,wel,us
2011-06-10T19:32:01.130Z,-44.177,168.356,5,4.9,mb,60,54.5,,,us,usp000j2yt,2014-11-07T01:45:04.181Z,"85 km NW of Wanaka, New Zealand",earthquake,,,,6,reviewed,wel,us
2011-03-27T22:54:09.550Z,-43.63,170.263,5,4.1,ml,15,112.9,,,us,usp000hyru,2014-11-07T01:44:21.398Z,"94 km WNW of Geraldine, New Zealand",earthquake,,,,,reviewed,wel,wel
2011-03-20T00:39:22.170Z,-44.289,169.969,5,4.4,ml,24,77.2,,,us,usp000hxzq,2014-11-07T01:44:14.991Z,"79 km NE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2011-03-20T00:34:58.570Z,-44.325,169.944,5,4.2,ml,18,56.8,,,us,usp000hxzp,2014-11-07T01:44:14.989Z,"75 km ENE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2011-03-20T00:33:54.650Z,-44.34,169.924,5,4.3,ml,28,71,,,us,usp000hxzn,2014-11-07T01:44:14.986Z,"73 km ENE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2011-03-20T00:10:22.360Z,-44.342,169.963,8.6,4.2,mwr,45,39.5,,,us,usp000hxzj,2014-11-07T01:44:14.979Z,"75 km ENE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,us
2010-07-25T21:23:56.810Z,-44.196,168.603,5,4.1,ml,23,176.9,,,us,usp000hgtm,2014-11-07T01:42:01.585Z,"70 km NW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2010-01-14T12:35:33.540Z,-44.12,168.372,3,4.6,ml,52,66.4,,,us,usp000h63s,2014-11-07T01:40:27.734Z,"89 km NW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2009-12-15T22:50:27.370Z,-44.423,168.189,2,4.6,ml,28,103.2,,,us,usp000h52q,2014-11-07T01:40:16.791Z,"75 km NW of Arrowtown, New Zealand",earthquake,,,,,reviewed,wel,wel
2009-10-31T17:01:11.700Z,-43.952,169.033,12,4.1,mb,52,52.3,,,us,usp000h3m7,2014-11-07T01:39:59.986Z,"83 km N of Wanaka, New Zealand",earthquake,,,,1,reviewed,wel,us
2009-03-27T16:46:42.100Z,-44.255,169.994,14.1,4.3,mb,43,74.8,,,us,usp000gvfw,2014-11-07T01:38:38.232Z,"83 km NE of Wanaka, New Zealand",earthquake,,,,3,reviewed,wel,us
2008-12-05T05:51:45.710Z,-43.824,169.196,14.1,4.4,mb,20,75.3,,,us,usp000gpyp,2014-11-07T01:37:54.174Z,"97 km N of Wanaka, New Zealand",earthquake,,,,4,reviewed,wel,us
2007-10-01T04:25:52.500Z,-43.5,170.06,2,4.1,ml,25,139,,,us,usp000fpks,2014-11-07T01:33:45.835Z,"114 km SW of Hokitika, New Zealand",earthquake,,,,,reviewed,wel,wel
2007-08-08T03:38:34.700Z,-44.03,169.62,12,4.5,ml,30,68.2,,,us,usp000fj53,2014-11-07T01:33:13.166Z,"83 km NNE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2007-08-07T12:38:29.800Z,-44.45,169.37,2,4,ml,17,64.4,,,us,usp000fj3m,2014-11-07T01:33:12.927Z,"32 km NNE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
